0	0	0
1723.78	0	0
4566.64	0	0
7066.64	0	0
9566.64	0	0
12066.64	0	0
14566.64	0	0
17066.64	0	0
19566.64	0	0
22066.64	0	0
24566.64	0	0
27066.64	0	0
29566.64	0	0
32066.64	0	0
34566.64	0	0
37066.64	0	0
39566.64	0	0
40480.15	0	0
1725.24	-800	0
4566.64	-800	0
7066.64	-800	0
37066.64	-800	0
39566.64	-800	0
40715.62	-800	0
1152.1	-1600	0
1726.7	-1600	0
4566.64	-1600	0
7066.64	-1600	0
9566.64	-1600	0
12066.64	-1600	0
14566.64	-1600	0
17066.64	-1600	0
19566.64	-1600	0
22066.64	-1600	0
24566.64	-1600	0
27066.64	-1600	0
29566.64	-1600	0
32066.64	-1600	0
34566.64	-1600	0
37066.64	-1600	0
39566.64	-1600	0
40951.1	-1600	0
2304.21	-3200	0
4566.64	-3200	0
7066.64	-3200	0
9566.64	-3200	0
12066.64	-3200	0
14566.64	-3200	0
17066.64	-3200	0
19566.64	-3200	0
22066.64	-3200	0
24566.64	-3200	0
27066.64	-3200	0
29566.64	-3200	0
32066.64	-3200	0
34566.64	-3200	0
37066.64	-3200	0
39566.64	-3200	0
41422.05	-3200	0
2880.26	-4000	0
4566.64	-4000	0
7066.64	-4000	0
37066.64	-4000	0
39566.64	-4000	0
41657.52	-4000	0
3456.32	-4800	0
4566.64	-4800	0
7066.64	-4800	0
9566.64	-4800	0
12066.64	-4800	0
14566.64	-4800	0
17066.64	-4800	0
19566.64	-4800	0
22066.64	-4800	0
24566.64	-4800	0
27066.64	-4800	0
29566.64	-4800	0
32066.64	-4800	0
34566.64	-4800	0
37066.64	-4800	0
39566.64	-4800	0
41892.99	-4800	0
7066.64	-800	-956.37
7066.64	-4000	-956.37
12066.64	-800	-2387.5
12066.64	-4000	-2387.5
17066.64	-800	-3224.44
17066.64	-4000	-3224.44
22066.64	-800	-3500
22066.64	-4000	-3500
27066.64	-800	-3224.44
27066.64	-4000	-3224.44
32066.64	-800	-2387.5
32066.64	-4000	-2387.5
37066.64	-800	-956.37
37066.64	-4000	-956.37
